eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A10,,,,NA,,"POLYGON ((566460.060376016 4076472.53489555,566458.866703422 4076470.942301,566457.27410887 4076472.13597359,566458.467781465 4076473.72856814,566460.060376016 4076472.53489555))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A11,,,,NA,,"POLYGON ((566457.982736339 4076474.63930261,566456.41746308 4076473.3965608,566455.1675208 4076474.94410838,566456.758717162 4076476.20595487,566457.982736339 4076474.63930261))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A16,,,,NA,,"POLYGON ((566418.583657636 4076507.32778621,566416.916510321 4076506.32376364,566415.912487744 4076507.99091095,566417.579635059 4076508.99493353,566418.583657636 4076507.32778621))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A15,,,,NA,,"POLYGON ((566414.175537235 4076499.58554066,566413.336160259 4076497.74811173,566411.498731328 4076498.58748871,566412.338108304 4076500.42491764,566414.175537235 4076499.58554066))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14,,,,NA,,"POLYGON ((566467.506016478 4076478.47238653,566469.020916637 4076477.18003379,566467.728563903 4076475.66513363,566466.213663744 4076476.95748637,566467.506016478 4076478.47238653))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13,,,,NA,,"POLYGON ((566457.23794745 4076480.87125386,566456.264599054 4076482.66074693,566458.054092123 4076483.63409532,566459.027440519 4076481.84460225,566457.23794745 4076480.87125386))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A20,,,,NA,,"POLYGON ((566790.49725309 4076539.86883747,566792.504017362 4076539.63999593,566792.275175822 4076537.59802526,566790.250808354 4076537.78285881,566790.506054687 4076539.86883747,566790.49725309 4076539.86883747))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A21,,,,NA,,"POLYGON ((566786.360742223 4076547.82586753,566788.184802057 4076548.81347439,566789.172408919 4076546.98941456,566787.348349085 4076546.0018077,566786.360742223 4076547.82586753))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19,,,,NA,,"POLYGON ((566796.543400133 4076558.41313407,566797.864967326 4076559.93523331,566799.387066567 4076558.61366612,566798.065499374 4076557.09156687,566796.543400133 4076558.41313407))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23,,,,NA,,"POLYGON ((566987.582992101 4076779.03399704,566988.905264452 4076780.62396871,566990.373554608 4076779.30169635,566989.010721756 4076777.73606099,566987.574880001 4076779.04210914,566987.582992101 4076779.03399704))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A24,,,,NA,,"POLYGON ((567006.946639369 4076779.66631005,567008.434543269 4076778.49582064,567007.264053855 4076777.00791674,567005.776149956 4076778.17840615,567006.946639369 4076779.66631005))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A22,,,,NA,,"POLYGON ((566991.491439181 4076792.6262532,566993.325933237 4076791.54488554,566992.244565577 4076789.71039149,566990.410071521 4076790.79175915,566991.491439181 4076792.6262532))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28,,,,NA,,"POLYGON ((567175.291255207 4076925.69027807,567174.252642311 4076927.46927099,567176.031635231 4076928.50788389,567177.070248128 4076926.72889097,567175.291255207 4076925.69027807))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29,,,,NA,,"POLYGON ((567176.992155176 4076915.82523797,567176.553976846 4076917.78220487,567178.510943744 4076918.2203832,567178.949122075 4076916.2634163,567176.992155176 4076915.82523797))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A25,,,,NA,,"POLYGON ((567439.165425155 4077176.30878002,567440.755830953 4077175.07600711,567439.523058038 4077173.48560131,567437.932652241 4077174.71837422,567439.165425155 4077176.30878002))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A27,,,,NA,,"POLYGON ((567447.381927248 4077180.17276987,567449.363496846 4077180.47186941,567449.662596388 4077178.49029981,567447.681026791 4077178.19120027,567447.381927248 4077180.17276987))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26,,,,NA,,"POLYGON ((567440.47435226 4077182.31377847,567442.481923012 4077182.30269884,567442.470843375 4077180.29512808,567440.463272623 4077180.30620772,567440.47435226 4077182.31377847))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A30,,,,NA,,"POLYGON ((567186.140437113 4076913.3976629,567185.702258783 4076915.3546298,567187.659225681 4076915.79280813,567188.097404011 4076913.83584123,567186.140437113 4076913.3976629))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
